league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
E1,0607,2006-08-05,Barnsley,Cardiff,1,2,A,,,0.37168215987575937,0.28608973820089995,0.34222810192334074,0.37456125244580013,0.28255424860611605,0.3428844989480839,0.05136326816864312,0.44266666666666665,0.5573333333333332,0.4380296304737454,0.5619703695262547
E1,0607,2006-08-05,Birmingham,Colchester,2,1,H,,,0.6297828335056876,0.2399172699069287,0.13029989658738367,0.652178472072311,0.2324278613995623,0.11539366652812662,0.052955121733248234,0.4745308310991957,0.5254691689008043,0.4726161651050819,0.5273838348949181
E1,0607,2006-08-05,Burnley,QPR,2,0,H,,,0.48626979588502345,0.28001913942605067,0.233711064688926,0.4981444041962589,0.27582005946716454,0.22603553633657658,0.05315083870664239,0.4506666666666666,0.5493333333333332,0.44686045842705185,0.5531395415729482
E1,0607,2006-08-05,Ipswich,Crystal Palace,1,2,A,,fpl-team-8,0.3727836368313213,0.28666589794307307,0.3405504652256056,0.37578178426940945,0.2831312568143957,0.34108695891619484,0.05199711490422487,0.44266666666666665,0.5573333333333332,0.4380296304737454,0.5619703695262547
E1,0607,2006-08-05,Leeds,Norwich,1,0,H,fpl-team-13,,0.4679632951124208,0.2819406187944398,0.25009608609313944,0.4780132227867489,0.27807211599459764,0.24391466121865352,0.05098479660227895,0.44,0.56,0.4350649350539206,0.5649350649460794
E1,0607,2006-08-05,Luton,Leicester,2,0,H,,,0.38322218754258625,0.28650996355707553,0.330267848900338,0.386915597637117,0.2830569767390623,0.3300274256238207,0.050560047617182136,0.44533333333333336,0.5546666666666668,0.44098341777534705,0.559016582224653
E1,0607,2006-08-05,Plymouth,Wolves,1,1,D,,,0.37566982504702084,0.28650768302636714,0.337822491926612,0.3789069977307534,0.2829403616165579,0.3381526406526887,0.05230418290011585,0.4297082228116711,0.5702917771883289,0.42391616422114325,0.5760838357788568
E1,0607,2006-08-05,Preston,Sheffield Weds,0,0,D,,,0.5290180605100675,0.27084457588988486,0.20013736360004766,0.5441920185853034,0.265869911173872,0.18993807024082462,0.05330574535764754,0.4491978609625669,0.5508021390374332,0.44509939899045475,0.5549006010095452
E1,0607,2006-08-05,Southend,Stoke,1,0,H,,,0.3973013493253374,0.2848575712143928,0.31784107946026985,0.4021754532443921,0.2811786771723066,0.3166458695833014,0.052031210623681545,0.44266666666666665,0.5573333333333332,0.4380296304737454,0.5619703695262547
E1,0607,2006-08-05,West Brom,Hull,2,0,H,,,0.5806352616234463,0.25732699094675465,0.16203774742979898,0.5995592510162852,0.25125443952724524,0.14918630945646952,0.053025547647848725,0.46524064171123,0.5347593582887701,0.462643678157164,0.537356321842836
