league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
I1,2122,2021-08-21,Inter,Genoa,4,0,H,,,0.7078971355964975,0.1852056459409441,0.10689721846255835,0.7208304609382565,0.17998040504191384,0.09918913401982962,0.02371218311600387,0.5831202046035805,0.41687979539641945,0.587450220630869,0.4125497793691309
I1,2122,2021-08-21,Verona,Sassuolo,2,3,A,,,0.36614034182675326,0.2786082484454303,0.3552514097278164,0.3672686294710833,0.27672755767143603,0.3560038128574806,0.02322641503997147,0.5169712793733681,0.4830287206266319,0.5177450177475817,0.4822549822524182
I1,2122,2021-08-21,Empoli,Lazio,1,3,A,,,0.2028300610564479,0.24495630450663325,0.5522136344369188,0.1983085684495945,0.24186496355696513,0.5598264679934403,0.02350839925929904,0.5555555555555556,0.4444444444444444,0.5581395348769767,0.4418604651230232
I1,2122,2021-08-21,Torino,Atalanta,1,2,A,,,0.17613578695064921,0.22610338608558514,0.5977608269637658,0.17083232153897246,0.22243926607172987,0.6067284123892976,0.02297126012854278,0.6074999999999999,0.39249999999999996,0.6127100206910782,0.3872899793089218
I1,2122,2021-08-22,Bologna,Salernitana,3,2,H,,,0.5784345070128859,0.23624181598298558,0.1853236770041285,0.5871417241926727,0.23276576798238383,0.18009250782494346,0.024054503301158547,0.5274151436031332,0.47258485639686687,0.5287183414470292,0.4712816585529708
I1,2122,2021-08-22,Udinese,Juventus,2,2,D,,,0.1322360706996135,0.21917748729752035,0.6485864420028662,0.125014412067635,0.21494623834299076,0.6600393495893744,0.0247933859936893,0.5402597402597403,0.4597402597402597,0.542101260313991,0.45789873968600897
I1,2122,2021-08-22,Napoli,Venezia,2,0,H,,,0.7695082403249071,0.1495595952982578,0.08093216437683501,0.7850922533993598,0.14280674796343013,0.07210099863721006,0.02490075444802642,0.6587677725118484,0.3412322274881517,0.6673661071287349,0.33263389287126516
I1,2122,2021-08-22,Roma,Fiorentina,3,1,H,,,0.5396439751436716,0.2480960612998178,0.21225996355651078,0.5468457051719496,0.24510700974722607,0.20804728508082435,0.023580497596412897,0.5670103092783505,0.4329896907216495,0.5703463203464245,0.42965367965357554
I1,2122,2021-08-23,Cagliari,Spezia,2,2,D,,,0.48255887969446215,0.2646721833227244,0.2527689369828135,0.48772934908900023,0.2622903218719377,0.24998032903906212,0.023360821418464184,0.5157068062827225,0.48429319371727747,0.5164631636708809,0.4835368363291191
I1,2122,2021-08-23,Sampdoria,Milan,0,1,A,,,0.2381183788512003,0.2734959665662357,0.48838565458256383,0.2349633401800864,0.27149993609412565,0.493536723725788,0.02239516901317984,0.5338541666666666,0.46614583333333337,0.5354271699073179,0.4645728300926822
I1,2122,2021-08-27,Udinese,Venezia,3,0,H,,,0.543518260885175,0.26213278522255035,0.19434895389227466,0.5496953271090275,0.2600213863595328,0.19028328653143975,0.019825894851237535,0.4559585492227979,0.5440414507772021,0.45400432901208554,0.5459956709879143
I1,2122,2021-08-27,Verona,Inter,1,3,A,,,0.17229591876015307,0.23055425100279478,0.5971498302370523,0.1675064195530844,0.22745665118030597,0.6050369292666096,0.020215448224917054,0.5618556701030928,0.43814432989690716,0.5647598488963583,0.43524015110364167
