league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
F1,0102,2001-07-27,Bordeaux,Nantes,2,0,H,,,0.4327053096547373,0.27449743081222394,0.29279725953303887,0.44273951185611926,0.2685805994589845,0.28867988868489614,0.06945915892720222,,,,
F1,0102,2001-07-28,Bastia,Sedan,1,1,D,,,0.47962221537829786,0.2772815932655785,0.2430961913561236,0.4932267470798064,0.2720085673850174,0.23476468553517627,0.0639422438107431,,,,
F1,0102,2001-07-28,Lens,Lyon,2,0,H,,,0.34669173815959575,0.2996826889176166,0.3536255729227876,0.3479575776333693,0.2964873668085763,0.35555505555805433,0.06559795956127346,,,,
F1,0102,2001-07-28,Lorient,Metz,1,0,H,,,0.40129151291512916,0.29428044280442806,0.30442804428044284,0.40786690852499924,0.2905099545868374,0.3016231368881633,0.06645571137778461,,,,
F1,0102,2001-07-28,Monaco,Sochaux,0,1,A,,,0.6254118887570845,0.239884012126005,0.1347040991169105,0.6557426174106333,0.22940151872235817,0.11485586386700852,0.07408560067415237,,,,
F1,0102,2001-07-28,Montpellier,Marseille,1,1,D,,,0.3559990717103737,0.3016941285681133,0.3423067997215131,0.3580364310424278,0.2988560874800706,0.34310748147750153,0.06182192172855139,,,,
F1,0102,2001-07-28,Paris SG,Lille,0,0,D,,,0.5452219794275968,0.26600223844800935,0.18877578212439372,0.5667875193830962,0.2588663495329896,0.17434613108391422,0.0708607176784426,,,,
F1,0102,2001-07-28,Rennes,Auxerre,0,5,A,,,0.48275168460223267,0.2790908176606658,0.2381574977371015,0.4958651475885826,0.27426448756073174,0.22987036485068568,0.06026256922632456,,,,
F1,0102,2001-07-28,Troyes,Guingamp,3,0,H,,,0.4895960832313342,0.27539779681762544,0.2350061199510404,0.5049920722494565,0.2696019977277902,0.22540593002275336,0.06793009536340833,,,,
F1,0102,2001-08-03,Marseille,Bordeaux,0,0,D,,,0.40435725908515635,0.28240824444042667,0.3132344964744169,0.41079465531307396,0.27781480354680194,0.31139054114012404,0.06216474832035601,,,,
F1,0102,2001-08-04,Auxerre,Paris SG,1,1,D,,,0.37465864639456786,0.28643257805004063,0.33890877555539156,0.37845362297575225,0.28214437278662013,0.3394020042376275,0.0631590133998543,,,,
F1,0102,2001-08-04,Guingamp,Bastia,1,0,H,,,0.46737746990214296,0.27823565005111944,0.25438688004673776,0.47946931322116254,0.2732299759864296,0.24730071079240784,0.061911110766232014,,,,
F1,0102,2001-08-04,Lille,Lorient,3,1,H,,,0.5579211235684974,0.26147348179180335,0.1806053946396992,0.5811730416345234,0.2536939261787672,0.16513303218670927,0.07231256272643805,,,,
F1,0102,2001-08-04,Lyon,Sedan,2,0,H,,,0.5810430810819208,0.25890596112915,0.1600509577889291,0.6056816912285087,0.25103860538514067,0.1432797033863506,0.06982530956156552,,,,
F1,0102,2001-08-04,Metz,Troyes,2,1,H,,,0.450159709219077,0.2878070272056394,0.2620332635752836,0.4620270906933356,0.28314088969639933,0.2548320196102651,0.06993175158277154,,,,
F1,0102,2001-08-04,Monaco,Montpellier,0,0,D,,,0.6166982922201139,0.24667931688804556,0.1366223908918406,0.6428667958146943,0.23808065847340124,0.11905254571190448,0.06526872212998569,,,,
F1,0102,2001-08-04,Nantes,Lens,1,2,A,,,0.5617903080197781,0.26526640108001553,0.17294329090020624,0.5841493958553606,0.2582462941992966,0.15760430994534275,0.06832612212747335,,,,
F1,0102,2001-08-04,Sochaux,Rennes,4,3,H,,,0.41218642052211335,0.2858712271363045,0.30194235234158223,0.4195793022117096,0.28143552250451503,0.29898517528377533,0.0643356537912041,,,,
F1,0102,2001-08-11,Bordeaux,Lille,0,0,D,,,0.5231588831611828,0.2688231799628231,0.20801793687599407,0.5432076223957757,0.26180860849363385,0.19498376911059048,0.07332464400678873,,,,
F1,0102,2001-08-11,Lens,Marseille,2,0,H,,,0.4680317592979524,0.2778938570831592,0.2540743836188884,0.48031607379919444,0.2728014391149061,0.24688248708589947,0.06261293566785753,,,,
F1,0102,2001-08-11,Montpellier,Metz,3,0,H,,,0.4206241519674355,0.2944369063772049,0.28493894165535955,0.42904122239388004,0.2906763975355314,0.2802823800705886,0.06621702900156379,,,,
F1,0102,2001-08-11,Paris SG,Sochaux,1,0,H,,,0.584958217270195,0.24902506963788298,0.166016713091922,0.6120459932363543,0.2394820442220868,0.1484719625415589,0.0757609426509589,,,,
F1,0102,2001-08-11,Rennes,Monaco,3,0,H,,,0.366251516022347,0.3024446316978963,0.33130385227975667,0.36987476357424764,0.2990579926204507,0.3310672438053016,0.0760688204318285,,,,
F1,0102,2001-08-11,Sedan,Guingamp,1,1,D,,,0.49111470113085626,0.27625201938610666,0.23263327948303716,0.5062646871502137,0.2706802870159852,0.22305502583380116,0.06616065511479974,,,,
F1,0102,2001-08-11,Troyes,Nantes,0,0,D,,,0.3633367801540439,0.3038356349720227,0.33282758487393327,0.3665275614566771,0.3007096745715507,0.33276276397177224,0.07342362264171243,,,,
F1,0102,2001-08-12,Bastia,Lyon,1,2,A,,,0.3563218390804598,0.28735632183908044,0.3563218390804598,0.3583644357295495,0.283271128540901,0.3583644357295495,0.06133646029047668,,,,
F1,0102,2001-08-12,Lorient,Auxerre,0,1,A,,,0.3623188405797102,0.2898550724637681,0.3478260869565218,0.3654572430600752,0.2851613657089412,0.34938139123098355,0.07506390125490725,,,,
F1,0102,2001-08-18,Lille,Montpellier,2,1,H,,,0.5494505494505495,0.27472527472527475,0.17582417582417584,0.5711606937709081,0.2684676317019018,0.1603716745271902,0.0701491180807352,,,,
F1,0102,2001-08-18,Lyon,Guingamp,3,0,H,,,0.6038820992092021,0.2501797268152408,0.14593817397555714,0.631957448069122,0.24090464390390448,0.12713790802697353,0.0735216501634568,,,,
F1,0102,2001-08-18,Marseille,Troyes,0,1,A,,,0.5111821086261981,0.2715654952076677,0.21725239616613415,0.5307392476114151,0.26459574015343407,0.20466501223515085,0.07633334631100297,,,,
F1,0102,2001-08-18,Metz,Lens,0,1,A,,,0.3563218390804598,0.28735632183908044,0.3563218390804598,0.3583644357295495,0.283271128540901,0.3583644357295495,0.06133646029047668,,,,
F1,0102,2001-08-18,Monaco,Paris SG,2,2,D,,,0.38072744449692963,0.28247520075578647,0.33679735474728384,0.3856081431521696,0.27726733364054185,0.33712452320728853,0.07108062715269625,,,,
F1,0102,2001-08-18,Nantes,Bastia,1,2,A,,,0.578642819568648,0.26038926880589164,0.16096791162546029,0.6019069106631025,0.2530567522137911,0.14503633712310632,0.06638145935721695,,,,
F1,0102,2001-08-18,Rennes,Bordeaux,1,0,H,,,0.3707451701931923,0.28702851885924563,0.34222631094756206,0.3741168822619634,0.28287121084954,0.3430119068884966,0.06198376847896725,,,,
F1,0102,2001-08-18,Sochaux,Lorient,2,2,D,,,0.5111821086261981,0.2715654952076677,0.21725239616613415,0.5307392476114151,0.26459574015343407,0.20466501223515085,0.07633334631100297,,,,
