league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
D1,2425,2024-08-23,Borussia M.Gladbach,Bayer Leverkusen,,,True,2,3,1.51665,3.23588,1.51665,2.30665,2.30665,1.51665,14.227272727272727,18.2,5,10,0.3707,2.4806,0.074,0.1487,0.7773
D1,2425,2024-08-24,RasenBallsport Leipzig,Bochum,,,True,1,0,0.937134,1.31541,0.937134,1.31541,1.31541,0.937134,12.916666666666666,10.758620689655173,8,1,0.9835,1.7233,0.2301,0.2932,0.4767
D1,2425,2024-08-24,Hoffenheim,Holstein Kiel,,,True,3,2,3.73706,1.97238,2.97928,1.97238,1.97238,2.97928,12.95,12.055555555555555,10,2,2.3924,0.4709,0.7519,0.1367,0.1114
D1,2425,2024-08-24,Freiburg,VfB Stuttgart,,,True,3,1,3.0149,0.374185,3.0149,0.374185,0.374185,3.0149,34.25,10.11111111111111,6,4,2.8978,0.06340000000000001,0.953,0.0388,0.0082
D1,2425,2024-08-24,Augsburg,Werder Bremen,,,True,2,2,1.31571,1.54312,1.31571,1.54312,1.54312,1.31571,14.75,10.789473684210526,3,11,1.193,1.5149000000000001,0.3003,0.2921,0.4076
D1,2425,2024-08-24,Mainz 05,Union Berlin,,,True,1,1,1.77023,0.731569,1.77023,0.731569,0.731569,1.77023,13.166666666666666,8.791666666666666,8,4,2.1965,0.5789,0.6573,0.2246,0.1181
D1,2425,2024-08-24,Borussia Dortmund,Eintracht Frankfurt,,,True,2,0,1.9263,1.15188,1.9263,1.15188,1.15188,1.9263,10.055555555555555,34.90909090909091,6,6,1.9957000000000003,0.7252000000000001,0.5722,0.2791,0.1487
D1,2425,2024-08-25,Wolfsburg,Bayern Munich,,,True,2,3,2.08125,2.17538,1.32348,2.17538,2.17538,1.32348,14.0,7.125,3,9,1.3304,1.418,0.3596,0.2516,0.3888
D1,2425,2024-08-25,St. Pauli,FC Heidenheim,,,True,0,2,1.1609,1.16833,1.1609,1.16833,1.16833,1.1609,7.956521739130435,13.333333333333334,2,1,1.2938,1.3808000000000002,0.3228,0.3254,0.3518
D1,2425,2024-08-30,Union Berlin,St. Pauli,,,True,1,0,1.0488,0.644857,1.0488,0.644857,0.644857,1.0488,25.133333333333333,11.333333333333334,6,4,1.7003,0.9653,0.4553,0.3344,0.2103
D1,2425,2024-08-31,Bochum,Borussia M.Gladbach,,,True,0,2,0.918629,2.66887,0.918629,2.66887,2.66887,0.918629,12.88888888888889,15.0,6,9,0.27,2.6088,0.0496,0.1212,0.8292
D1,2425,2024-08-31,Werder Bremen,Borussia Dortmund,,,True,0,0,0.278533,0.918302,0.278533,0.918302,0.918302,0.278533,18.263157894736842,12.521739130434783,9,2,0.6456999999999999,1.9953999999999998,0.0956,0.3589,0.5455
D1,2425,2024-08-31,Holstein Kiel,Wolfsburg,,,True,0,2,0.89489,1.4619,0.89489,1.4619,1.4619,0.89489,8.0,9.5,6,5,0.8815999999999999,1.8455,0.2029,0.2729,0.5242
D1,2425,2024-08-31,VfB Stuttgart,Mainz 05,,,True,3,3,4.2134,1.95179,4.2134,1.19402,1.19402,4.2134,9.705882352941176,13.391304347826088,12,6,2.6429,0.2549,0.8469,0.1022,0.0509
D1,2425,2024-08-31,Eintracht Frankfurt,Hoffenheim,,,True,3,1,2.68507,0.832386,2.68507,0.832386,0.832386,2.68507,9.8,17.25,12,4,2.6611999999999996,0.212,0.8448,0.1268,0.0284
