league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
D1,2324,2023-08-18,Werder Bremen,Bayern Munich,,,True,0,4,0.63974,2.89704,0.63974,2.89704,2.89704,0.63974,12.433333333333334,19.714285714285715,2,16,0.18130000000000002,2.7229,0.0285,0.0958,0.8757
D1,2324,2023-08-19,Bayer Leverkusen,RasenBallsport Leipzig,,,True,3,2,1.73279,1.60393,1.73279,1.60393,1.60393,1.73279,14.333333333333334,12.105263157894736,5,4,1.4839,1.2526,0.4068,0.2635,0.3297
D1,2324,2023-08-19,Wolfsburg,FC Heidenheim,,,True,2,0,3.21449,1.17776,3.21449,1.17776,1.17776,3.21449,16.58823529411765,16.57894736842105,8,7,2.556,0.3192,0.8104,0.1248,0.0648
D1,2324,2023-08-19,Hoffenheim,Freiburg,,,True,1,2,1.67186,3.24821,1.67186,3.24821,3.24821,1.67186,11.045454545454545,21.727272727272727,8,7,0.5233,2.3344,0.127,0.1423,0.7307
D1,2324,2023-08-19,Augsburg,Borussia M.Gladbach,,,True,4,4,2.53482,1.91849,1.77704,1.16071,1.16071,1.77704,11.176470588235293,19.5,12,7,1.8311000000000002,0.9212,0.5278,0.2477,0.2245
D1,2324,2023-08-19,VfB Stuttgart,Bochum,,,True,5,0,3.98664,0.669108,3.98664,0.669108,0.669108,3.98664,24.2,18.235294117647058,12,1,2.9129,0.0536,0.9598,0.0335,0.0067
D1,2324,2023-08-19,Borussia Dortmund,FC Cologne,,,True,1,0,1.72317,1.51393,1.72317,1.51393,1.51393,1.72317,8.272727272727273,19.608695652173914,5,8,1.5453,1.1679,0.4195,0.2868,0.2937
D1,2324,2023-08-20,Union Berlin,Mainz 05,,,True,4,1,2.11281,2.51995,2.11281,1.0044,1.0044,2.11281,16.25,9.52,3,4,1.0337,1.7135000000000002,0.2603,0.2528,0.4869
D1,2324,2023-08-20,Eintracht Frankfurt,Darmstadt,,,True,1,0,1.2399,0.813333,1.2399,0.813333,0.813333,1.2399,10.55,22.88235294117647,7,4,1.7585,0.8804,0.4658,0.3611,0.1731
D1,2324,2023-08-25,RasenBallsport Leipzig,VfB Stuttgart,,,True,5,1,2.0934,1.18326,2.0934,1.18326,1.18326,2.0934,12.772727272727273,19.066666666666666,9,3,2.0311,0.7339,0.5987,0.235,0.1663
D1,2324,2023-08-26,Freiburg,Werder Bremen,,,True,1,0,1.71877,0.696983,1.71877,0.696983,0.696983,1.71877,15.5625,13.875,4,12,2.2155,0.5646,0.6652,0.2199,0.1149
D1,2324,2023-08-26,FC Cologne,Wolfsburg,,,True,1,2,0.64301,2.26952,0.64301,2.26952,2.26952,0.64301,13.333333333333334,10.153846153846153,7,7,0.2495,2.6195000000000004,0.0395,0.131,0.8295
D1,2324,2023-08-26,Bochum,Borussia Dortmund,,,True,1,1,1.01164,1.17241,1.01164,1.17241,1.17241,1.01164,8.9,10.090909090909092,6,9,1.2096,1.4873999999999998,0.3022,0.303,0.3948
D1,2324,2023-08-26,FC Heidenheim,Hoffenheim,,,True,2,3,2.72999,2.75768,1.97221,1.99991,1.99991,1.97221,17.5,6.444444444444445,8,4,1.343,1.4165,0.3675,0.2405,0.392
D1,2324,2023-08-26,Darmstadt,Union Berlin,,,True,1,4,2.59994,1.6379,2.59994,1.6379,1.6379,2.59994,5.705882352941177,14.090909090909092,5,4,2.0173,0.7795000000000001,0.6047,0.2032,0.1921
D1,2324,2023-08-26,Borussia M.Gladbach,Bayer Leverkusen,,,True,0,3,1.76423,3.65301,1.76423,3.65301,3.65301,1.76423,15.916666666666666,14.823529411764707,11,26,0.4108,2.4562,0.0926,0.133,0.7744
D1,2324,2023-08-27,Mainz 05,Eintracht Frankfurt,,,True,1,1,1.44234,1.15731,1.44234,1.15731,1.15731,1.44234,8.848484848484848,8.055555555555555,10,3,1.5438,1.1585999999999999,0.4154,0.2976,0.287
D1,2324,2023-08-27,Bayern Munich,Augsburg,,,True,3,1,2.82296,0.726241,2.06518,0.726241,0.726241,2.06518,10.08,16.545454545454547,14,6,2.6955,0.201,0.864,0.1035,0.0325
D1,2324,2023-09-01,Borussia Dortmund,FC Heidenheim,,,True,2,2,2.74794,2.09517,1.99017,1.33739,1.33739,1.99017,11.23076923076923,12.708333333333334,14,5,1.8089,0.9521,0.5233,0.239,0.2377
D1,2324,2023-09-02,Bayer Leverkusen,Darmstadt,,,True,5,1,3.42599,0.681851,3.42599,0.681851,0.681851,3.42599,13.23076923076923,22.058823529411764,20,3,2.8233,0.1152,0.9206,0.0615,0.0179
D1,2324,2023-09-02,Hoffenheim,Wolfsburg,,,True,3,1,1.78689,1.4154,1.78689,1.4154,1.4154,1.78689,27.166666666666668,13.2,4,11,1.6682000000000001,1.0699999999999998,0.4688,0.2618,0.2694
D1,2324,2023-09-02,Werder Bremen,Mainz 05,,,True,4,0,3.01318,0.65805,2.2554,0.65805,0.65805,2.2554,12.277777777777779,6.275862068965517,11,12,2.78,0.1496,0.9032,0.0704,0.0264
D1,2324,2023-09-02,Augsburg,Bochum,,,True,2,2,1.88106,1.86494,1.88106,1.86494,1.86494,1.88106,18.0,5.666666666666667,3,9,1.3996,1.3236999999999999,0.3743,0.2767,0.349
D1,2324,2023-09-02,VfB Stuttgart,Freiburg,,,True,5,0,2.09598,1.50372,2.09598,1.50372,1.50372,2.09598,24.866666666666667,13.75,5,3,1.8283999999999998,0.9128000000000001,0.5232,0.2588,0.218
D1,2324,2023-09-02,Borussia M.Gladbach,Bayern Munich,,,True,1,2,0.201237,2.14949,0.201237,2.14949,2.14949,0.201237,38.25,6.516129032258065,2,13,0.1638,2.7231,0.0169,0.1131,0.87
D1,2324,2023-09-03,Eintracht Frankfurt,FC Cologne,,,True,1,1,1.2824,0.931141,1.2824,0.173364,0.173364,1.2824,11.15,16.366666666666667,16,3,1.5966,1.0539,0.4157,0.3495,0.2348
D1,2324,2023-09-03,Union Berlin,RasenBallsport Leipzig,,,True,0,3,0.17815,1.21402,0.17815,1.21402,1.21402,0.17815,15.10344827586207,7.0,1,3,0.4213,2.2996000000000003,0.0474,0.2791,0.6735
D1,2324,2023-09-15,Bayern Munich,Bayer Leverkusen,,,True,2,2,2.74374,2.4584,2.74374,1.70062,1.70062,2.74374,15.73913043478261,16.47826086956522,10,16,1.5792,1.2026999999999999,0.4537,0.2181,0.3282
D1,2324,2023-09-16,RasenBallsport Leipzig,Augsburg,,,True,3,0,1.46279,1.34046,1.46279,1.34046,1.34046,1.46279,13.736842105263158,17.9,5,7,1.4503000000000001,1.2679,0.3895,0.2818,0.3287
D1,2324,2023-09-16,Freiburg,Borussia Dortmund,,,True,2,4,1.14667,3.37255,1.14667,3.37255,3.37255,1.14667,12.894736842105264,19.076923076923077,1,5,0.2092,2.6971000000000003,0.0385,0.0937,0.8678
