league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
D1,2021,2020-09-18,Bayern Munich,Schalke 04,,,True,8,0,4.62088,0.14975,3.86311,0.14975,0.14975,3.86311,6.34375,25.333333333333332,24,3,2.989,0.0063999999999999994,0.9948,0.0046,0.0006
D1,2021,2020-09-19,Eintracht Frankfurt,Arminia Bielefeld,,,True,1,1,2.46928,0.618787,2.46928,0.618787,0.618787,2.46928,6.769230769230769,12.44,9,2,2.652,0.23220000000000002,0.8454,0.1158,0.0388
D1,2021,2020-09-19,Union Berlin,Augsburg,,,True,1,3,1.04515,1.42046,1.04515,1.42046,1.42046,1.04515,13.222222222222221,21.25,1,0,1.0171999999999999,1.6946,0.243,0.2882,0.4688
D1,2021,2020-09-19,FC Cologne,Hoffenheim,,,True,2,3,2.40801,2.9032,2.40801,2.14542,2.14542,2.40801,11.91304347826087,11.541666666666666,5,10,0.9889,1.7581000000000002,0.2453,0.253,0.5017
D1,2021,2020-09-19,Werder Bremen,Hertha Berlin,,,True,1,4,0.495892,2.05406,0.495892,2.05406,2.05406,0.495892,12.090909090909092,4.794117647058823,6,3,0.3489,2.4869999999999997,0.0616,0.1641,0.7743
D1,2021,2020-09-19,VfB Stuttgart,Freiburg,,,True,2,3,2.15741,2.07011,2.15741,2.07011,2.07011,2.15741,7.619047619047619,12.11111111111111,12,4,1.4088,1.3491,0.3889,0.2421,0.369
D1,2021,2020-09-19,Borussia Dortmund,Borussia M.Gladbach,,,True,3,0,1.70398,0.510293,0.9462,0.510293,0.510293,0.9462,28.76923076923077,12.1,7,5,2.4147,0.3822,0.7372,0.2031,0.0597
D1,2021,2020-09-20,RasenBallsport Leipzig,Mainz 05,,,True,3,1,3.22891,1.07201,2.47113,1.07201,1.07201,2.47113,6.185185185185185,29.58823529411765,14,2,2.634,0.2547,0.8409,0.1113,0.0478
D1,2021,2020-09-20,Wolfsburg,Bayer Leverkusen,,,True,0,0,1.27652,0.441229,1.27652,0.441229,0.441229,1.27652,11.64516129032258,11.875,7,8,2.1488,0.5738,0.6238,0.2774,0.0988
D1,2021,2020-09-25,Hertha Berlin,Eintracht Frankfurt,,,True,1,3,1.55994,1.62111,1.55994,0.863333,0.863333,1.55994,13.4375,15.8,3,6,1.3124,1.3924999999999998,0.3391,0.2951,0.3658
