league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
D1,1920,2019-08-16,Bayern Munich,Hertha Berlin,,,True,2,2,2.47707,1.18459,1.71929,1.18459,1.18459,1.71929,10.5,16.217391304347824,17,2,2.3576,0.4466,0.7206,0.1958,0.0836
D1,1920,2019-08-17,Werder Bremen,Fortuna Duesseldorf,,,True,1,3,2.0112,1.01536,2.0112,1.01536,1.01536,2.0112,11.866666666666667,21.0,14,7,2.0987,0.6734,0.6236,0.2279,0.1485
D1,1920,2019-08-17,Freiburg,Mainz 05,,,True,3,0,1.88401,0.784216,1.12624,0.784216,0.784216,1.12624,20.2,10.391304347826088,3,8,2.2573999999999996,0.5339,0.6829,0.2087,0.1084
D1,1920,2019-08-17,Borussia Dortmund,Augsburg,,,True,5,1,3.25906,0.904482,3.25906,0.904482,0.904482,3.25906,5.913043478260869,22.666666666666668,14,3,2.7393,0.1731,0.8839,0.0876,0.0285
D1,1920,2019-08-17,Bayer Leverkusen,Paderborn,,,True,3,2,2.47615,1.20475,2.47615,1.20475,1.20475,2.47615,3.838709677419355,17.379310344827587,9,2,2.3902,0.41259999999999997,0.731,0.1972,0.0718
D1,1920,2019-08-17,Wolfsburg,FC Cologne,,,True,2,1,0.9793,0.662001,0.9793,0.662001,0.662001,0.9793,8.555555555555555,7.103448275862069,5,2,1.6196000000000002,1.0265,0.4219,0.3539,0.2242
D1,1920,2019-08-17,Borussia M.Gladbach,Schalke 04,,,True,0,0,1.43141,0.760773,1.43141,0.760773,0.760773,1.43141,5.757575757575758,15.285714285714286,7,5,1.9358,0.7925,0.5547,0.2717,0.1736
D1,1920,2019-08-18,Eintracht Frankfurt,Hoffenheim,,,True,1,0,1.8214,0.634831,1.8214,0.634831,0.634831,1.8214,11.454545454545455,6.444444444444445,4,4,2.3280000000000003,0.4674,0.7078,0.2046,0.0876
D1,1920,2019-08-18,Union Berlin,RasenBallsport Leipzig,,,True,0,4,0.782907,3.93387,0.782907,3.93387,3.93387,0.782907,15.76923076923077,8.227272727272727,2,12,0.0764,2.8867999999999996,0.0132,0.0368,0.95
D1,1920,2019-08-23,FC Cologne,Borussia Dortmund,,,True,1,3,0.937461,2.08181,0.937461,2.08181,2.08181,0.937461,16.625,4.565217391304348,2,6,0.5193,2.2748999999999997,0.1045,0.2058,0.6897
