league,season,date,home_team_raw,away_team_raw,home_team_id,away_team_id,is_result,home_goals,away_goals,home_xg,away_xg,home_npxg,away_npxg,home_npxga,away_npxga,home_ppda,away_ppda,home_deep,away_deep,home_xpts,away_xpts,understat_forecast_home_win,understat_forecast_draw,understat_forecast_away_win
E0,2021,2020-09-12,Fulham,Arsenal,fpl-team-10,fpl-team-1,True,0,3,0.126327,2.16287,0.126327,2.16287,2.16287,0.126327,32.69230769230769,21.928571428571427,0,11,0.0587,2.8937,0.0037,0.0476,0.9487
E0,2021,2020-09-12,Crystal Palace,Southampton,fpl-team-8,hist-team-southampton,True,1,0,1.39569,1.26267,1.39569,1.26267,1.26267,1.39569,17.333333333333332,3.608695652173913,1,14,1.477,1.2208,0.3916,0.3022,0.3062
E0,2021,2020-09-12,Liverpool,Leeds,fpl-team-14,fpl-team-13,True,4,3,3.15412,0.269813,1.63179,0.269813,0.269813,1.63179,9.935483870967742,9.333333333333334,19,2,2.927,0.0434,0.9658,0.0296,0.0046
E0,2021,2020-09-12,West Ham,Newcastle United,hist-team-west-ham,fpl-team-17,True,0,2,0.861445,1.65911,0.861445,1.65911,1.65911,0.861445,6.407407407407407,24.181818181818183,5,10,0.6998,2.0522,0.1506,0.248,0.6014
E0,2021,2020-09-13,West Bromwich Albion,Leicester,,hist-team-leicester,True,0,3,0.352997,2.95581,0.352997,1.43347,1.43347,0.352997,19.105263157894736,10.529411764705882,6,3,0.0568,2.9074,0.007,0.0358,0.9572
E0,2021,2020-09-13,Tottenham,Everton,fpl-team-19,fpl-team-9,True,0,1,0.822944,1.26793,0.822944,1.26793,1.26793,0.822944,11.333333333333334,16.263157894736842,9,5,0.9577,1.7446000000000002,0.22,0.2977,0.4823
E0,2021,2020-09-14,Sheffield United,Wolverhampton Wanderers,hist-team-sheffield-united,,True,0,2,0.949316,1.61307,0.949316,1.61307,1.61307,0.949316,8.233333333333333,31.33333333333333,10,3,0.7955000000000001,1.9139,0.1683,0.2906,0.5411
E0,2021,2020-09-14,Brighton,Chelsea,fpl-team-5,fpl-team-6,True,1,3,1.44281,1.27062,1.44281,0.509456,0.509456,1.44281,9.344827586206897,12.695652173913045,3,6,1.4766,1.2081,0.3871,0.3153,0.2976
E0,2021,2020-09-19,Everton,West Bromwich Albion,fpl-team-9,,True,5,2,4.16254,0.315347,4.16254,0.315347,0.315347,4.16254,9.095238095238097,41.5,6,6,2.9941,0.0037,0.9973,0.0022,0.0005
E0,2021,2020-09-19,Leeds,Fulham,fpl-team-13,fpl-team-10,True,4,3,1.45254,1.55503,0.691368,0.793862,0.793862,0.691368,7.617647058823529,9.423076923076923,5,4,1.2608,1.4255,0.3157,0.3137,0.3706
E0,2021,2020-09-19,Manchester United,Crystal Palace,fpl-team-16,fpl-team-8,True,1,3,1.09737,1.91456,1.09737,1.15339,1.15339,1.09737,3.3076923076923075,13.590909090909092,9,4,0.7463000000000001,2.0159,0.1695,0.2378,0.5927
E0,2021,2020-09-19,Arsenal,West Ham,fpl-team-1,hist-team-west-ham,True,2,1,1.32902,2.06377,1.32902,2.06377,2.06377,1.32902,12.764705882352942,18.26086956521739,16,4,0.8155,1.9438,0.1916,0.2407,0.5677
E0,2021,2020-09-20,Southampton,Tottenham,hist-team-southampton,fpl-team-19,True,2,5,2.27708,2.28004,1.51591,2.28004,2.28004,1.51591,8.666666666666666,10.782608695652174,4,3,1.3364,1.3870999999999998,0.3533,0.2765,0.3702
E0,2021,2020-09-20,Newcastle United,Brighton,fpl-team-17,fpl-team-5,True,0,3,0.520678,1.8766,0.520678,1.11546,1.11546,0.520678,11.952380952380953,10.842105263157896,3,3,0.3134,2.5109,0.0459,0.1757,0.7784
E0,2021,2020-09-20,Chelsea,Liverpool,fpl-team-6,fpl-team-14,True,0,2,0.904183,2.25211,0.143014,2.25211,2.25211,0.143014,37.63636363636363,11.4375,1,13,0.3666,2.4384,0.0572,0.195,0.7478
E0,2021,2020-09-20,Leicester,Burnley,hist-team-leicester,hist-team-burnley,True,4,2,0.987365,1.52404,0.987365,1.52404,1.52404,0.987365,7.470588235294118,16.095238095238095,14,6,0.9512,1.7849,0.2291,0.2639,0.507
E0,2021,2020-09-21,Aston Villa,Sheffield United,fpl-team-2,hist-team-sheffield-united,True,1,0,0.80527,0.849709,0.80527,0.0885404,0.0885404,0.80527,4.45,17.642857142857142,17,2,1.1601,1.4646,0.2616,0.3753,0.3631
E0,2021,2020-09-21,Wolverhampton Wanderers,Manchester City,,fpl-team-15,True,1,3,0.727677,2.07651,0.727677,1.31535,1.31535,0.727677,30.714285714285715,7.6,3,9,0.422,2.4074,0.0838,0.1706,0.7456
E0,2021,2020-09-26,Brighton,Manchester United,fpl-team-5,fpl-team-16,True,2,3,2.97659,1.57583,2.21546,0.814659,0.814659,2.21546,6.638888888888889,11.125,10,6,2.3391,0.483,0.7204,0.1779,0.1017
E0,2021,2020-09-26,Crystal Palace,Everton,fpl-team-8,fpl-team-9,True,1,2,0.443115,2.27189,0.443115,1.51072,1.51072,0.443115,12.03448275862069,7.304347826086956,4,3,0.1946999999999999,2.696400000000001,0.0286,0.1089,0.8625
