Snapshot,GW,Fixture ID,Commence time,Team,Opponent,Home,Expected goals for,Expected goals against,Clean sheet probability,Win probability,Draw probability,Loss probability,Fit residual
2026-08-23,3,8f68612bf47c3193e7fa2d8783e79373,2026-09-05T14:00:00Z,FUL,CRY,True,1.5112,1.1789,0.3076,0.437,0.2788,0.2843,0.010947
2026-08-23,3,8f68612bf47c3193e7fa2d8783e79373,2026-09-05T14:00:00Z,CRY,FUL,False,1.1789,1.5112,0.2206,0.2843,0.2788,0.437,0.010947
2026-08-23,2,9becb395ad634de55caec620f9d713fa,2026-08-30T13:00:00Z,SUN,FUL,True,1.2812,1.2258,0.2935,0.3656,0.2951,0.3393,0.00561
2026-08-23,2,9becb395ad634de55caec620f9d713fa,2026-08-30T13:00:00Z,FUL,SUN,False,1.2258,1.2812,0.2777,0.3393,0.2951,0.3656,0.00561
2026-08-23,3,a6f2622727548c33369cc15c88b2aabd,2026-09-05T14:00:00Z,NFO,TOT,True,1.2875,1.2779,0.2786,0.3566,0.2913,0.3521,0.013717
2026-08-23,3,a6f2622727548c33369cc15c88b2aabd,2026-09-05T14:00:00Z,TOT,NFO,False,1.2779,1.2875,0.276,0.3521,0.2913,0.3566,0.013717
2026-08-23,2,e479c08421b8549c6959c2b84f6f3f79,2026-08-30T13:00:00Z,LEE,BRE,True,1.4013,1.3205,0.267,0.378,0.2811,0.3409,0.007708
2026-08-23,2,e479c08421b8549c6959c2b84f6f3f79,2026-08-30T13:00:00Z,BRE,LEE,False,1.3205,1.4013,0.2463,0.3409,0.2811,0.378,0.007708
2026-08-23,2,feafb731d0307bc91a58e18187aa2eab,2026-08-29T11:30:00Z,LIV,NFO,True,2.1799,0.9341,0.3929,0.6487,0.2109,0.1404,0.005048
2026-08-23,2,feafb731d0307bc91a58e18187aa2eab,2026-08-29T11:30:00Z,NFO,LIV,False,0.9341,2.1799,0.1131,0.1404,0.2109,0.6487,0.005048
2026-08-23,2,ff4818bd73fa63c0a1e4c98e50c7a2e5,2026-08-29T14:00:00Z,BOU,EVE,True,1.6331,1.1498,0.3167,0.4746,0.2686,0.2569,0.005641
2026-08-23,2,ff4818bd73fa63c0a1e4c98e50c7a2e5,2026-08-29T14:00:00Z,EVE,BOU,False,1.1498,1.6331,0.1953,0.2569,0.2686,0.4746,0.005641
