league,season,player_name,team,team_id,minutes,games,goals,xg,npg,npxg,assists,xa,xg_chain,xg_buildup
F1,1415,Alexandre Lacazette,Lyon,,2860,33,27,18.59796054661274,19,11.757098719477654,6,6.063526223413646,19.622057039290667,6.380009217187762
F1,1415,André-Pierre Gignac,Marseille,,3118,38,21,16.70074133016169,19,14.420451203361154,2,2.281485792249441,17.878303453326225,2.9180489871650934
F1,1415,Zlatan Ibrahimovic,Paris Saint Germain,,2002,24,19,18.945742398500443,11,12.104877218604088,6,7.077430501580238,21.294297993183136,7.169924933463335
F1,1415,Edinson Cavani,Paris Saint Germain,,2666,35,18,22.860323067754507,15,20.580032106488943,1,1.7430237997323275,25.087470583617687,5.913361266255379
F1,1415,Max Gradel,Saint-Etienne,,2186,31,17,14.411359057761729,13,10.61088475305587,3,5.481751047074795,14.291719306260347,2.279516279697418
F1,1415,Claudio Beauvue,Guingamp,,2996,36,17,12.172689450904727,11,7.612118626013398,3,3.9643071992322803,11.970875558443367,2.36518033221364
F1,1415,Diego Rolan,Bordeaux,,2493,36,15,12.557041309773922,12,10.2767568603158,3,3.568909155204892,14.774150177836418,3.7812248738482594
F1,1415,Wissam Ben Yedder,Toulouse,,2890,36,14,11.59732124954462,12,9.317032180726528,3,5.408475711941719,15.236948242411017,4.522266806103289
F1,1415,Nabil Fekir,Lyon,,2796,34,13,10.633824076503515,13,9.873728062957525,9,6.042494786903262,14.780865079723299,3.109592747874558
F1,1415,Jordan Ayew,Lorient,,2616,31,12,11.871489154174924,9,9.591202700510621,5,3.255954572930932,12.664956465363503,3.3441759711131454
F1,1415,Lucas Barrios,Montpellier,,2313,31,11,9.533594598527998,9,6.493224558886141,3,3.2381250485777855,12.349550837650895,3.3974891416728497
F1,1415,Christophe Mandanne,Guingamp,,2080,31,11,9.070095058530569,10,8.31000005826354,2,1.7848103195428848,10.56627656891942,1.2131423000246286
F1,1415,Carlos Eduardo,Nice,,2349,30,10,10.040312889963388,10,10.040312889963388,4,3.9969219528138638,12.162749874405563,2.658190179616213
F1,1415,Mathieu Duhamel,"Caen,Evian Thonon Gaillard",,2232,30,10,10.752322992309928,8,9.23220101185143,0,0.6218224950134754,9.378505989909172,0.7434163866564631
F1,1415,Anthony Martial,Monaco,,1819,35,9,10.844691744074225,8,9.324500745162368,3,2.3954966068267822,12.94192298874259,2.113694202154875
F1,1415,André Ayew,Marseille,,2394,28,9,9.591964144259691,9,9.591964144259691,3,3.1952703688293695,14.156410358846188,6.737746065482497
F1,1415,Wahbi Khazri,Bordeaux,,2395,32,9,7.465542929247022,7,5.945352973416448,5,4.779084065929055,11.004282725974917,4.299084668979049
F1,1415,Modibo Maiga,Metz,,1760,25,9,5.802155980840325,7,4.281969832256436,0,1.5840802127495408,6.074480468407273,1.0942509220913053
F1,1415,Anthony Mounier,Montpellier,,3123,36,9,6.869161166250706,8,6.109066180884838,6,9.85009034909308,17.391471706330776,5.028466694056988
F1,1415,Paul-Georges Ntep,Rennes,,2708,35,9,6.958617463707924,9,6.198522470891476,5,6.9425114914774895,14.979453291743994,5.300593131221831
F1,1415,Nolan Roux,Lille,,2387,33,9,7.157473633997142,8,6.397378574125469,3,3.4913209080696106,11.305658626370132,2.7171385884284973
F1,1415,Bernardo Silva,Monaco,,2290,32,9,6.319105256348848,9,6.319105256348848,3,5.60375096462667,15.752231527119875,6.264686540700495
F1,1415,Mevlüt Erdinc,Saint-Etienne,,1610,26,8,6.426825050264597,7,4.906635161489248,1,0.616765895858407,6.225676478818059,1.8274946957826614
F1,1415,Divock Origi,Lille,,2149,33,8,9.90163473598659,6,6.861247105523944,3,3.5014930050820112,10.662329507991672,2.229854025878012
F1,1415,Daniel Wass,Evian Thonon Gaillard,,2472,32,8,5.042463032528758,7,3.5222729928791523,5,4.157951702363789,7.45031981356442,3.9459706228226423
F1,1415,Éric Bautheac,Nice,,2588,35,8,7.635718713980168,5,5.355429799761623,5,4.173765854910016,11.316289968322963,4.861087555065751
F1,1415,Benjamin Moukandjo,Reims,,1887,31,8,5.998644613660872,7,5.238549799658358,1,3.066583823412657,7.130793111398816,1.8880699090659618
F1,1415,Cheick Diabaté,Bordeaux,,1085,15,8,7.309981554746628,6,5.789791561663151,2,0.5199352726340294,6.2162577994167805,1.2125423587858677
F1,1415,Ezequiel Lavezzi,Paris Saint Germain,,1625,30,8,7.559552580118179,8,7.559552580118179,2,4.979713648557663,13.706844821572304,3.495401633903384
F1,1415,Yoann Touzghar,Lens,,1901,29,8,6.7166064493358135,5,4.43632104806602,1,1.696686695329845,7.005107147619128,1.082966759800911
F1,1415,Dimitri Payet,Marseille,,3073,36,7,4.081294592469931,7,4.081294592469931,16,13.184555556625128,21.181732282042503,13.868644089438021
F1,1415,Jordan Veretout,Nantes,,3218,36,7,5.043745897710323,3,2.0034313052892685,6,7.1627013413235545,8.079316982999444,5.074888589791954
F1,1415,Ola Toivonen,Rennes,,2412,30,7,9.741100998595357,6,8.220915699377656,1,2.7062333934009075,11.088803492486477,2.9580666199326515
F1,1415,Clinton N&#039;Jie,Lyon,,1518,30,7,8.375191988423467,7,8.375191988423467,7,3.3200895935297012,14.162215117365122,3.5300429984927177
F1,1415,Michy Batshuayi,Marseille,,889,24,7,6.189341206103563,7,5.429246190935373,0,0.4497251966968179,7.098175887949765,1.5990480706095695
F1,1415,David Ngog,Reims,,1739,28,7,5.74535633251071,7,5.74535633251071,1,1.1880749110132456,5.749902488663793,1.6082408921793103
F1,1415,Lucas Moura,Paris Saint Germain,,1903,29,7,6.7456601448357105,5,5.225470144301653,5,4.546516373753548,13.237925499677658,7.196310523897409
F1,1415,Raphael Guerreiro,Lorient,,2777,34,7,3.8840800626203418,7,3.8840800626203418,3,3.649759406223893,10.075839094817638,4.285586519166827
F1,1415,Benjamin Jeannot,Lorient,,2238,31,7,7.421189535409212,6,6.661094322800636,3,2.4054367998614907,9.04256954882294,2.1828226568177342
F1,1415,Herve Bazile,Caen,,1749,30,7,4.7878836914896965,7,4.7878836914896965,3,2.9531450886279345,8.279433015733957,1.6639312226325274
F1,1415,Corentin Tolisso,Lyon,,3314,38,7,5.569765220396221,7,5.569765220396221,2,1.4238333981484175,15.202041625976562,11.572350987233222
F1,1415,Dimitar Berbatov,Monaco,,1749,26,7,8.592129956930876,5,7.071936514228582,0,1.8783993842080235,9.812475310638547,2.9457934852689505
F1,1415,Pablo Chavarria,Lens,,2506,31,7,5.84653390198946,7,5.84653390198946,0,2.776732986792922,9.04225148446858,1.909563198685646
F1,1415,Aleksandar Pesic,Toulouse,,2086,34,6,7.070404656231403,6,7.070404656231403,6,4.193797202780843,9.739279073663056,0.897523277439177
F1,1415,Yannick Carrasco,Monaco,,2817,36,6,7.2140007871203125,6,7.2140007871203125,10,8.080856824293733,15.832020217552781,5.9314065501093864
F1,1415,Martin Braithwaite,Toulouse,,2105,34,6,8.263932037167251,6,8.263932037167251,2,2.0119004994630814,11.379231820814312,1.623684381134808
F1,1415,Aissa Mandi,Reims,,2805,32,6,4.306022133678198,6,4.306022133678198,2,2.567176314070821,6.967838590964675,5.067040549591184
F1,1415,Gaëtan Charbonnier,Reims,,2423,33,6,6.645490831695497,4,5.125298834405839,5,3.4692415548488498,10.83673937432468,4.975138520821929
F1,1415,Floyd Ayité,SC Bastia,,2338,30,6,3.513706710189581,6,3.513706710189581,2,3.020284323953092,6.143291769549251,1.577999895438552
F1,1415,Emiliano Sala,"Bordeaux,Caen",,1266,24,6,5.450778849422932,4,3.930588848888874,1,0.769277386367321,4.050631660968065,0.43996821250766516
F1,1415,Sloan Privat,Caen,,980,20,6,5.9156698659062386,6,5.9156698659062386,1,0.9310686951503158,4.586867148987949,0.8935751039534807
F1,1415,Morgan Sanson,Montpellier,,2744,32,6,5.530182627029717,6,5.530182627029717,3,3.7989778965711594,13.26629875972867,6.485042715445161
F1,1415,Florian Thauvin,Marseille,,2609,36,5,7.032390709966421,5,7.032390709966421,4,4.596997491084039,13.831909116357565,4.836705055087805
F1,1415,Ricky van Wolfswinkel,Saint-Etienne,,1612,28,5,5.454168071970344,5,5.454168071970344,4,1.9443990038707852,6.250703725963831,0.5498764980584383
F1,1415,Giovanni Sio,SC Bastia,,811,13,5,2.510236607864499,5,2.510236607864499,0,0.5407335087656975,2.574869018048048,0.2276895008981228
F1,1415,Javier Pastore,Paris Saint Germain,,2764,34,5,5.048612382262945,5,5.048612382262945,12,9.311668664216995,28.000179678201675,18.12333591748029
F1,1415,Ryad Boudebouz,SC Bastia,,2831,34,5,5.019434918649495,1,1.9790554074570537,3,3.0580126075074077,8.125069098547101,5.476349273696542
F1,1415,Julien Féret,Caen,,2923,37,5,3.0112998010590672,3,1.4911094130948186,5,4.6414368115365505,12.034178048372269,7.985823810100555
