league,season,player_name,team,team_id,minutes,games,goals,xg,npg,npxg,assists,xa,xg_chain,xg_buildup
F1,2122,Kylian Mbappe-Lottin,Paris Saint Germain,,3040,35,29,24.977208882570267,25,21.936828210949898,17,12.68674629740417,40.46810184419155,12.094086153432727
F1,2122,Wissam Ben Yedder,Monaco,,2560,37,25,19.01175193861127,17,12.930996276438236,5,6.077304377220571,20.251938208006322,4.6698481105268
F1,2122,Martin Terrier,Rennes,,2836,37,21,15.060965828597546,19,13.540776677429676,3,5.016157285310328,24.810452205128968,10.825361002236605
F1,2122,Moussa Dembele,Lyon,,2220,30,21,22.631302527152002,16,18.830960459075868,4,3.838869685307145,22.412415811792016,3.5196638032794
F1,2122,Andy Delort,"Montpellier,Nice",,2730,35,18,17.200313100591302,15,14.920087048783898,3,5.394831563346088,19.789531053975224,3.3958356585353613
F1,2122,Gaetan Laborde,"Montpellier,Rennes",,3093,38,15,18.970638681203127,13,17.450448755174875,8,6.571088765747845,25.32270908728242,5.17854880541563
F1,2122,Jonathan Christian David,Lille,,2824,38,15,14.675139594823122,13,12.39485676959157,0,2.9130951007828116,18.189485747367144,4.662801507860422
F1,2122,Mohamed Bayo,Clermont Foot,,2442,32,14,13.817994877696037,12,11.537707842886448,5,3.9737232364714146,14.731482196599245,2.1403016103431582
F1,2122,Neymar,Paris Saint Germain,,1877,22,13,11.735738188028336,10,8.695362156257033,6,8.739592474885285,25.08594012260437,12.037471696734428
F1,2122,Dimitri Payet,Marseille,,2599,31,12,10.224445840809494,5,4.903780868742615,11,10.594417411834002,18.840970885008574,9.467505542561412
F1,2122,Karl Toko Ekambi,Lyon,,2312,30,12,11.929097674787045,10,10.408907614648342,5,5.79322543181479,21.26668992638588,7.530513679608703
F1,2122,Randal Kolo Muani,Nantes,,2970,36,12,11.18252938054502,12,11.18252938054502,4,4.523487389087677,16.162628212943673,2.059402228333056
F1,2122,Ludovic Ajorque,Strasbourg,,2760,36,12,12.542709402740002,9,10.262424379587173,8,6.815739583224058,18.56258476898074,5.024452829733491
F1,2122,Arnaud Kalimuendo Muinga,"Lens,Paris Saint Germain",,2190,34,12,8.8013557465747,10,7.281161678023636,0,1.8022303748875856,10.752909920178354,2.4536013957113028
F1,2122,Kevin Gameiro,Strasbourg,,2415,35,11,14.750277327373624,10,12.469992423430085,3,2.5066994978114963,18.37097854912281,5.595181668177247
F1,2122,Franck Honorat,Brest,,2929,34,11,4.789808684960008,11,4.789808684960008,4,6.3095434284769,13.453521289862692,4.2844959404319525
F1,2122,Benjamin Bourigeaud,Rennes,,3245,38,11,5.43186451215297,11,5.43186451215297,12,12.786496586166322,23.919712318107486,14.151435198262334
F1,2122,Habib Diallo,Strasbourg,,1519,31,11,10.883001787588,9,9.362810773774981,1,3.378270383924246,12.01518994383514,2.6773185804486275
F1,2122,Hwang Ui-Jo,Bordeaux,,2552,32,11,8.264751048758626,11,8.264751048758626,2,1.4752803109586239,10.20733985118568,1.2997122202068567
F1,2122,Wahbi Khazri,Saint-Etienne,,2258,30,10,7.494059192948043,6,4.453681676648557,0,3.255455811508,7.8746081702411175,2.155415710993111
F1,2122,Ludovic Blas,Nantes,,2993,35,10,11.144776804372668,5,7.344297079369426,5,3.9845828050747514,16.08773048222065,6.730470256879926
F1,2122,Cengiz Ünder,Marseille,,2225,32,10,6.0185533869080245,9,5.258458414580673,2,4.43167410325259,14.55936518125236,7.305522307753563
F1,2122,Amine Gouiri,Nice,,2777,38,10,12.052416706457734,7,8.251946095377207,9,6.796851160936058,16.275909837335348,5.603671049699187
F1,2122,Romain Faivre,"Brest,Lyon",,2689,35,10,8.076988201588392,5,4.276512861251831,5,5.772960881702602,14.384619072079659,8.037475366145372
F1,2122,Hugo Ekitike,Reims,,1282,24,10,8.203123487532139,9,6.682938523590565,3,1.6526274709030986,8.147719405591488,1.180037614889443
F1,2122,Sepe Elye Wahi,Montpellier,,1782,33,10,8.606743330601603,10,8.606743330601603,1,0.6138403918594122,7.998909069690853,0.4107987005263567
F1,2122,Kevin Volland,Monaco,,2460,34,9,8.400361774489284,8,7.640266774222255,9,7.059479713439941,18.392999220639467,5.734555035829544
F1,2122,Gerson,Marseille,,2552,35,9,5.7587811425328255,9,5.7587811425328255,4,3.065848406404257,12.634189061820507,5.895399445667863
F1,2122,Serhou Guirassy,Rennes,,979,37,9,7.723982933908701,9,7.723982933908701,0,0.27813468500971794,9.981460081413388,3.654306808486581
F1,2122,Denis Bouanga,Saint-Etienne,,2462,34,9,7.8321459367871284,9,7.8321459367871284,6,5.413532421924174,13.050487047992647,2.295035196468234
F1,2122,Steve Mounie,Brest,,2306,35,9,12.824075052514672,7,11.303885029628873,2,1.076785895973444,14.180308423936367,4.590662034228444
F1,2122,Lucas Paquetá,Lyon,,2730,35,9,9.39243732392788,8,8.632341921329498,6,4.8732272777706385,22.659942880272865,12.401619154959917
