league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
D1,2021,2020-09-18,Bayern Munich,Schalke 04,8,0,H,,,0.878584830380381,0.08262790898314197,0.03878726063647693,0.8965396917171454,0.07391314013749771,0.029547168145356944,0.024340241216123104,0.7860962566844919,0.213903743315508,0.8032879818461379,0.1967120181538621
D1,2021,2020-09-19,Ein Frankfurt,Bielefeld,1,1,D,,,0.5780869340421886,0.22764759932448952,0.194265466633322,0.5868967965642344,0.22382552464502997,0.18927767879073562,0.024367471691221,0.5954198473282442,0.40458015267175573,0.6007901951191439,0.39920980488085617
D1,2021,2020-09-19,FC Koln,Hoffenheim,2,3,A,,,0.3668266582736643,0.2649303643087576,0.3682429774175781,0.3680271688660731,0.26247826907278204,0.3694945620611448,0.024263059021905065,0.5974683544303797,0.4025316455696203,0.6026010020388961,0.3973989979611039
D1,2021,2020-09-19,Stuttgart,Freiburg,2,3,A,,,0.42290179670194444,0.27464312084666503,0.3024550824513906,0.4259812496121363,0.27262886023339333,0.3013898901544703,0.023166347993537784,0.5328083989501312,0.4671916010498688,0.5345934576824739,0.46540654231752615
D1,2021,2020-09-19,Union Berlin,Augsburg,1,3,A,,,0.40757397659324374,0.29345326314713543,0.2989727602596208,0.41024784452374985,0.29201757330507605,0.297734582171174,0.024276715936139226,0.4659685863874345,0.5340314136125655,0.46419916281732926,0.5358008371826707
D1,2021,2020-09-19,Werder Bremen,Hertha,1,4,A,,,0.36425920639451903,0.27424112665334477,0.3614996669521363,0.365353411782162,0.2721508206296334,0.3624957675882046,0.02392335725016892,0.5468749999999999,0.45312499999999994,0.5492610837511274,0.4507389162488727
D1,2021,2020-09-19,Dortmund,M'gladbach,3,0,H,,,0.5862253099182041,0.21916221448776896,0.19461247559402703,0.5949802356913773,0.2151968075790735,0.18982295672954927,0.023429237538948655,0.6563245823389022,0.3436754176610979,0.6654040404058719,0.33459595959412813
D1,2021,2020-09-20,RB Leipzig,Mainz,3,1,H,,,0.6979990693345741,0.17449976733364353,0.1275011633317822,0.7104208088460827,0.16903292965707523,0.12054626149684196,0.023286866955459118,0.6900452488687784,0.3099547511312218,0.7010290774453914,0.2989709225546085
D1,2021,2020-09-20,Wolfsburg,Leverkusen,0,0,D,,,0.3300965506347859,0.27731948585306143,0.39258396351215274,0.3299763561107121,0.27531966227460786,0.39470398161467996,0.02413413906469941,0.5456919060052219,0.4543080939947781,0.5481218720770542,0.4518781279229459
D1,2021,2020-09-25,Hertha,Ein Frankfurt,1,3,A,,,0.4204736578935407,0.25564798399927274,0.32387835810718674,0.4232635981355052,0.2531677731269962,0.3235686287374987,0.02157291630282998,0.6194029850746269,0.38059701492537307,0.625994172750678,0.3740058272493221
D1,2021,2020-09-26,Augsburg,Dortmund,2,0,H,,,0.1362709840431316,0.1976211988509315,0.666107817105937,0.12903436775005264,0.19252144756784859,0.6784441846820989,0.02531724190339446,0.6237623762376239,0.37623762376237624,0.6305346699902831,0.36946533000971704
D1,2021,2020-09-26,Bielefeld,FC Koln,1,0,H,,,0.3519846963175514,0.2709882179035695,0.3770270857788793,0.35264923925547553,0.2687589733637633,0.37859178738076116,0.024189496645703912,0.5747422680412371,0.4252577319587629,0.5788150563967673,0.4211849436032326
D1,2021,2020-09-26,Leverkusen,RB Leipzig,1,1,D,,,0.3147818087736446,0.26131202207784743,0.42390616914850804,0.31410726308349735,0.25872962187779963,0.42716311503870297,0.02425231458619237,0.6080402010050251,0.3919597989949749,0.6139012502759682,0.3860987497240318
D1,2021,2020-09-26,Mainz,Stuttgart,1,4,A,,,0.39406303310456514,0.2701508612218265,0.33578610567360834,0.39625239072060586,0.2678785232546658,0.33586908602472837,0.02432742726523429,0.5892857142857143,0.41071428571428575,0.5941087897737051,0.405891210226295
D1,2021,2020-09-26,M'gladbach,Union Berlin,1,1,D,,,0.6624162949723837,0.2069152851974474,0.13066841983016883,0.6742529062868986,0.20228879100623706,0.12345830270686438,0.024560346268117428,0.5621761658031088,0.43782383419689114,0.5654432416138302,0.4345567583861699
D1,2021,2020-09-26,Schalke 04,Werder Bremen,1,3,A,,,0.3742604607577647,0.27743144620125,0.34830809304098537,0.37571048192330325,0.275453779604399,0.3488357384722977,0.023919809376820922,0.5392670157068064,0.46073298429319376,0.5413724624964675,0.4586275375035324
D1,2021,2020-09-27,Hoffenheim,Bayern Munich,4,1,H,,,0.09040520546637605,0.13710803888190656,0.7724867556517173,0.08107199513771637,0.12929930337021825,0.7896287014920652,0.027237279107794166,0.7544204322200393,0.2455795677799607,0.7697916667000307,0.23020833329996926
D1,2021,2020-09-27,Freiburg,Wolfsburg,1,1,D,,,0.3108108108108108,0.2756756756756757,0.4135135135135135,0.30994664727546456,0.2734808262092038,0.41657252651533166,0.025739869801327586,0.5196850393700787,0.48031496062992135,0.5206987911941695,0.4793012088058304
D1,2021,2020-10-02,Union Berlin,Mainz,4,0,H,,,0.44719950498371064,0.2688221743441407,0.28397832067214857,0.4510016148271616,0.26667049742883797,0.28232788774400047,0.022493108408525586,0.5261780104712042,0.47382198952879584,0.5274868750139057,0.4725131249860944
D1,2021,2020-10-03,Dortmund,Freiburg,4,0,H,,,0.7342914731399526,0.1631758829199895,0.10253264394005783,0.7484936753110125,0.15703777214130343,0.09446855254768408,0.024418544257059693,0.6514423076923078,0.34855769230769235,0.6603257411923884,0.33967425880761165
D1,2021,2020-10-03,Ein Frankfurt,Hoffenheim,2,1,H,,,0.4007234288030683,0.26345904987605046,0.3358175213208812,0.40314812571251624,0.2609516747184971,0.33590019956898665,0.024282205384224653,0.65311004784689,0.34688995215311,0.6616774030689878,0.3383225969310122
D1,2021,2020-10-03,FC Koln,M'gladbach,1,3,A,,,0.2452831464168137,0.24718949211435376,0.5075273614688326,0.24213832689471917,0.2441115844151294,0.5137500886901514,0.024107066448777914,0.5794871794871795,0.4205128205128206,0.5836391107142681,0.416360889285732
D1,2021,2020-10-03,Stuttgart,Leverkusen,1,1,D,,,0.25782175769295496,0.24273295253535201,0.4994452897716929,0.255107235317792,0.2394858059241511,0.5054069587580569,0.024216778110712767,0.6323529411764707,0.36764705882352944,0.6395348837376859,0.36046511626231414
D1,2021,2020-10-03,Werder Bremen,Bielefeld,1,0,H,,,0.4445218023035825,0.267212544081367,0.28826565361505047,0.4487491091663071,0.26470292681413027,0.2865479640195626,0.025648298440501094,0.5366492146596858,0.46335078534031415,0.5385834366765977,0.46141656332340236
D1,2021,2020-10-03,RB Leipzig,Schalke 04,4,0,H,,,0.7567456942618962,0.15529309035341846,0.08796121538468535,0.7721119585839818,0.1486672731495007,0.0792207682665175,0.025204979348927736,0.6666666666666666,0.3333333333333333,0.6760563379970995,0.3239436620029005
D1,2021,2020-10-04,Wolfsburg,Augsburg,0,0,D,,,0.4718476135293692,0.2677337582385747,0.2604186282320562,0.4769077734961849,0.26533552324012943,0.25775670326368566,0.02464016992598772,0.5275590551181102,0.47244094488188976,0.5290215588778682,0.4709784411221318
D1,2021,2020-10-04,Bayern Munich,Hertha,4,3,H,,,0.8220767158729629,0.11530943052147968,0.06261385360555725,0.8397755233477213,0.10714614879117416,0.05307832786110441,0.025743794394657016,0.7544204322200393,0.2455795677799607,0.7697916667000307,0.23020833329996926
D1,2021,2020-10-17,Augsburg,RB Leipzig,0,2,A,,,0.16558917334712522,0.21101629169899147,0.6233945349538833,0.1595770387259211,0.20657313512447473,0.6338498261496042,0.02448165719397366,0.6228287841191067,0.3771712158808933,0.6297441811503233,0.37025581884967673
D1,2021,2020-10-17,Freiburg,Werder Bremen,1,1,D,,,0.4222556390977444,0.27187969924812033,0.30586466165413534,0.4254173627555546,0.26969926263037414,0.3048833746140713,0.023968693567439914,0.5301837270341206,0.46981627296587924,0.5318048564632609,0.468195143536739
D1,2021,2020-10-17,Hertha,Stuttgart,0,2,A,,,0.4631128242753425,0.2503969601068781,0.28649021561777943,0.46776019655244455,0.24743475540051155,0.28480504804704393,0.02415020391345024,0.6228287841191067,0.3771712158808933,0.6297441811503233,0.37025581884967673
D1,2021,2020-10-17,Hoffenheim,Dortmund,0,1,A,,,0.23681849895345358,0.2209209608292634,0.542260540217283,0.2333808271063236,0.2169308906905627,0.5496882822031136,0.024018689757212996,0.6842105263157895,0.3157894736842105,0.6950947602831756,0.30490523971682426
D1,2021,2020-10-17,Mainz,Leverkusen,0,1,A,,,0.18637085764922842,0.21978908040012457,0.593840061950647,0.18136475903137333,0.21588922307615496,0.6027460178924717,0.023145345272496343,0.6473429951690821,0.35265700483091783,0.6558985892728963,0.3441014107271036
D1,2021,2020-10-17,Bielefeld,Bayern Munich,1,4,A,,,0.06986161647691241,0.12408796820543434,0.8060504153176533,0.061680424120080915,0.11728730533049347,0.8210322705494256,0.022181427921168506,0.7382413087934561,0.261758691206544,0.7521208448902743,0.2478791551097256
D1,2021,2020-10-17,M'gladbach,Wolfsburg,1,1,D,,,0.5136219521526643,0.24813943662440402,0.23823861122293158,0.5198899459622082,0.24517448446752274,0.23493556957026906,0.023458235547877848,0.5684754521963824,0.43152454780361754,0.572128470331088,0.4278715296689119
D1,2021,2020-10-18,FC Koln,Ein Frankfurt,1,1,D,,,0.30124593108092934,0.251835222808396,0.44691884611067456,0.3000336169877595,0.2487908767939474,0.4511755062182931,0.025287997676059604,0.6381418092909535,0.3618581907090465,0.6462669565880584,0.3537330434119415
D1,2021,2020-10-18,Schalke 04,Union Berlin,1,1,D,,,0.33762475734620495,0.29476836399885387,0.3676068786549413,0.3377827249346494,0.29333287882802894,0.3688843962373216,0.025159970624372363,0.4569190600522194,0.5430809399477807,0.4546703296758698,0.5453296703241303
D1,2021,2020-10-23,Stuttgart,FC Koln,1,1,D,,,0.49923901163443957,0.24515061440872737,0.25561037395683306,0.5045780813866192,0.24231524366183052,0.25310667495155026,0.02168693160638213,0.6055276381909548,0.3944723618090452,0.6110024578960898,0.3889975421039103
