league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
D1,1718,2017-08-18,Bayern Munich,Leverkusen,3,1,H,,,0.763766629708794,0.15299812293846032,0.08323524735274564,0.7789643840432846,0.14645624339326918,0.0745793725634462,0.02455465169623494,0.6713286713286714,0.32867132867132864,0.6809988179766167,0.3190011820233833
D1,1718,2017-08-19,Hamburg,Augsburg,1,0,H,,,0.4430741051667557,0.2890788369075784,0.2678470579256659,0.4475229993921156,0.2872799496653822,0.2651970509425023,0.02737004798837006,0.4352331606217616,0.5647668393782384,0.43173875054910793,0.5682612494508922
D1,1718,2017-08-19,Hertha,Stuttgart,2,0,H,,,0.46311058501488894,0.2767862097027761,0.2601032052823349,0.46824682690672287,0.2745438335585153,0.2572093395347618,0.026717800414189696,0.49081364829396334,0.5091863517060368,0.49035227961880756,0.5096477203811924
D1,1718,2017-08-19,Hoffenheim,Werder Bremen,1,0,H,,,0.5316877189599203,0.2427859737087391,0.2255263073313406,0.5391665004845692,0.23936473063997615,0.22146876887545475,0.025483286939561367,0.6218905472636816,0.37810945273631846,0.6289473684070686,0.3710526315929315
D1,1718,2017-08-19,Mainz,Hannover,0,1,A,,,0.47779514461476685,0.2796506875833489,0.24255416780188424,0.48334425595615144,0.27757814313560636,0.2390776009082423,0.025934349629096687,0.46073298429319376,0.5392670157068064,0.4586275375035324,0.5413724624964675
D1,1718,2017-08-19,Schalke 04,RB Leipzig,2,0,H,,,0.34166733789770437,0.28438179621425697,0.3739508658880386,0.34198990011947544,0.2824710588842373,0.37553904099628727,0.02641760720871389,0.5052631578947367,0.49473684210526314,0.5055407801420785,0.4944592198579216
D1,1718,2017-08-19,Wolfsburg,Dortmund,0,3,A,,,0.23595058716684952,0.24444238207773872,0.5196070307554117,0.23221607780018674,0.2410270848553366,0.5267568373444766,0.025936283986084163,0.615,0.385,0.6214232921437255,0.3785767078562746
D1,1718,2017-08-20,Freiburg,Ein Frankfurt,0,0,D,,,0.3821749451119231,0.2943459204588724,0.3234791344292045,0.38416750938658395,0.29275807888174477,0.32307441173167134,0.027551133185625076,0.44155844155844154,0.5584415584415584,0.4384404924803881,0.5615595075196119
D1,1718,2017-08-20,M'gladbach,FC Koln,1,0,H,,,0.48804847382740074,0.27285707182281194,0.23909445434978724,0.4944974068893095,0.2703239640555724,0.23517862905511813,0.028178184293210506,0.5,0.5,0.5,0.5
D1,1718,2017-08-25,FC Koln,Hamburg,1,3,A,,,0.4772143705589894,0.28237536719466827,0.24041026224634227,0.48231907177865385,0.2805574287790607,0.2371234994422854,0.023931919131428003,0.46073298429319376,0.5392670157068064,0.4586275375035324,0.5413724624964675
D1,1718,2017-08-26,Augsburg,M'gladbach,2,2,D,,,0.2894575286329315,0.2885777185155062,0.4219647528515623,0.2877236373215527,0.2868093602012012,0.42546700247724606,0.026663357624784112,0.4569190600522194,0.5430809399477807,0.4546703296758698,0.5453296703241303
D1,1718,2017-08-26,Dortmund,Hertha,2,0,H,,,0.6944990443140072,0.18803630251189526,0.11746465317409752,0.7082021210693855,0.18241746829469066,0.10938041063592371,0.026050402782857418,0.6194029850746269,0.38059701492537307,0.625994172750678,0.3740058272493221
D1,1718,2017-08-26,Ein Frankfurt,Wolfsburg,0,1,A,,,0.41868487722362097,0.28887983930018835,0.2924352834761907,0.4219883263367725,0.28715986449766656,0.2908518091655609,0.026109714759513736,0.44791666666666663,0.5520833333333334,0.4451513821865228,0.5548486178134774
D1,1718,2017-08-26,Leverkusen,Hoffenheim,2,2,D,,,0.4612763183239247,0.2624942584937251,0.2762294231823502,0.4662510428864022,0.2597432961003722,0.27400566101322554,0.026241587242111564,0.5939086294416244,0.40609137055837563,0.5988247863269538,0.4011752136730462
D1,1718,2017-08-26,Stuttgart,Mainz,1,0,H,,,0.4138688322563317,0.2804022561736685,0.3057289115699998,0.4171592997106401,0.27824373922514983,0.3045969610642101,0.027584673836827278,0.5275590551181102,0.47244094488188976,0.5290215588778682,0.4709784411221318
D1,1718,2017-08-26,Werder Bremen,Bayern Munich,0,2,A,,,0.0843894993830777,0.14725771994357761,0.7683527806733446,0.07538144955974102,0.14021401122458657,0.7844045392156724,0.025715532712638378,0.6879271070615035,0.31207289293849666,0.6994005897445237,0.3005994102554762
D1,1718,2017-08-27,Hannover,Schalke 04,1,0,H,,,0.2909560644040168,0.27657742168637645,0.4324665139096068,0.28934780848646474,0.2744294048649851,0.4362227866485502,0.02555729472078383,0.5118110236220472,0.48818897637795283,0.5124069478901967,0.4875930521098033
D1,1718,2017-08-27,RB Leipzig,Freiburg,4,1,H,,,0.7037199836690511,0.1915366891034716,0.1047433272274773,0.7182027450559455,0.18583676686355938,0.09596048808049511,0.02697240305133164,0.5610389610389611,0.43896103896103894,0.5643765066779782,0.4356234933220219
D1,1718,2017-09-08,Hamburg,RB Leipzig,0,2,A,,,0.24821153927558523,0.26549646540898253,0.48629199531543227,0.2451061232048695,0.26301311058729315,0.49188076620783744,0.024652391206473112,0.5130890052356021,0.486910994764398,0.5137151634835786,0.48628483651642146
D1,1718,2017-09-09,Augsburg,FC Koln,3,0,H,,,0.3989052641584912,0.2915546120302122,0.30954012381129675,0.4012843857291034,0.2900406132559669,0.3086750010149297,0.02446069591678679,0.44155844155844154,0.5584415584415584,0.4384404924803881,0.5615595075196119
D1,1718,2017-09-09,Freiburg,Dortmund,0,0,D,,,0.13141324092872736,0.19671342868918776,0.671873330382085,0.12425010109799757,0.1917464896392003,0.684003409262802,0.024472571210935712,0.5964467005076142,0.4035532994923858,0.6016994513412668,0.3983005486587334
D1,1718,2017-09-09,Hoffenheim,Bayern Munich,2,0,H,,,0.14630095312344424,0.20135712575763673,0.6523419211189191,0.1394051902071425,0.19639689265348215,0.6641979171393754,0.025334855308756232,0.6555023923444976,0.3444976076555024,0.6647404704280386,0.3352595295719614
D1,1718,2017-09-09,Mainz,Leverkusen,3,1,H,,,0.326965117384279,0.2765896777872826,0.39644520482843837,0.32671922016184113,0.2744490668106303,0.39883171302752857,0.02551985182799399,0.5366492146596858,0.46335078534031415,0.5385834366765977,0.46141656332340236
D1,1718,2017-09-09,M'gladbach,Ein Frankfurt,0,1,A,,,0.5115807642903019,0.26505298651252407,0.22336624919717404,0.5183250275694851,0.2624543872137257,0.21922058521678922,0.025564689189195633,0.49473684210526314,0.5052631578947367,0.4944592198579216,0.5055407801420785
D1,1718,2017-09-09,Wolfsburg,Hannover,1,1,D,,,0.514653890632744,0.2689575417148522,0.21638856765240377,0.5214300686980934,0.2665326783808815,0.2120372529210252,0.02525429450906813,0.4712041884816754,0.5287958115183247,0.4697469746961598,0.5302530253038402
D1,1718,2017-09-10,Hertha,Werder Bremen,1,1,D,,,0.4800859752821064,0.27236969371305747,0.2475443310048361,0.4857526630534081,0.27000842006758996,0.24423891687900193,0.026069225277751684,0.5091863517060368,0.49081364829396334,0.5096477203811924,0.49035227961880756
D1,1718,2017-09-10,Schalke 04,Stuttgart,3,1,H,,,0.5524573696886081,0.24875043870795965,0.19879219160343217,0.5609859225796553,0.24543214376148847,0.19358193365885615,0.026355858659371734,0.5366492146596858,0.46335078534031415,0.5385834366765977,0.46141656332340236
D1,1718,2017-09-15,Hannover,Hamburg,2,0,H,,,0.48344462255437953,0.27605388592235586,0.24050149152326458,0.4890194210206166,0.27391681303172577,0.23706376594765766,0.02506555919535458,0.4595300261096606,0.5404699738903395,0.4574549846322122,0.5425450153677878
D1,1718,2017-09-16,Bayern Munich,Mainz,4,0,H,,,0.8325491893756662,0.11277168053969563,0.05467913008463826,0.849077211054396,0.10517679571997036,0.04574599322563367,0.023595958715304732,0.7096069868995633,0.2903930131004367,0.7220936957855707,0.2779063042144293
D1,1718,2017-09-16,Ein Frankfurt,Augsburg,1,2,A,,,0.5111094886150559,0.2771614136513131,0.21172909773363116,0.5179607634215795,0.27497201891011036,0.2070672176683101,0.026060407981276512,0.4215938303341903,0.5784061696658098,0.41734417344999014,0.5826558265500098
D1,1718,2017-09-16,RB Leipzig,M'gladbach,2,2,D,,,0.5696953139603435,0.23964513206896057,0.19065955397069606,0.5786722413286816,0.23605912185321423,0.18526863681810424,0.0257304385304451,0.5673575129533679,0.43264248704663216,0.5710906953347442,0.4289093046652558
D1,1718,2017-09-16,Stuttgart,Wolfsburg,1,0,H,,,0.39493181104927166,0.2824289806020014,0.322639208348727,0.39724560158668004,0.2805208816362011,0.3222335167771188,0.025342523818835616,0.5026315789473684,0.4973684210526315,0.5027701598381817,0.4972298401618182
D1,1718,2017-09-16,Werder Bremen,Schalke 04,1,2,A,,,0.35119185837023276,0.27992056946568555,0.3688875721640817,0.3518598771206026,0.2779179026320365,0.3702222202473609,0.02536989375948906,0.5275590551181102,0.47244094488188976,0.5290215588778682,0.4709784411221318
D1,1718,2017-09-17,Dortmund,FC Koln,5,0,H,,,0.7636043336748524,0.15571050849813464,0.08068515782701313,0.7788645270134243,0.14921851445871162,0.07191695852786412,0.024696060921996832,0.6595238095238095,0.3404761904761905,0.6691449345042649,0.33085506549573496
D1,1718,2017-09-17,Hoffenheim,Hertha,1,1,D,,,0.5563786155317076,0.24905953731916758,0.19456184714912478,0.5648451963973334,0.2458325473130165,0.18932225628964994,0.02570236544124782,0.5354330708661418,0.4645669291338583,0.5373878364892272,0.46261216351077283
D1,1718,2017-09-17,Leverkusen,Freiburg,4,0,H,,,0.6518829151982263,0.20917561674492538,0.13894146805684826,0.6638927617374687,0.2044210939316968,0.1316861443308346,0.025730795925483108,0.606060606060606,0.393939393939394,0.6121794871882096,0.38782051281179036
D1,1718,2017-09-19,Augsburg,RB Leipzig,1,0,H,,,0.27302271137887574,0.2753899603214672,0.45158732829965703,0.27080676383385566,0.27326004961076283,0.4559331865553814,0.02478193398565054,0.5026315789473684,0.4973684210526315,0.5027701598381817,0.4972298401618182
D1,1718,2017-09-19,M'gladbach,Stuttgart,2,0,H,,,0.5666652175803156,0.24101204190757727,0.19232274051210713,0.5754117135668952,0.23752507570270032,0.18706321073040447,0.025385807268321514,0.577319587628866,0.4226804123711341,0.581663763067284,0.41833623693271604
D1,1718,2017-09-19,Schalke 04,Bayern Munich,0,3,A,,,0.13832684824902725,0.20077821011673147,0.6608949416342411,0.13103366556415696,0.19570343255943662,0.6732629018764064,0.025783645920455456,0.6050632911392405,0.3949367088607595,0.6113077995948881,0.3886922004051118
D1,1718,2017-09-19,Wolfsburg,Werder Bremen,1,1,D,,,0.4665416549162946,0.27270629685651604,0.26075204822718934,0.4715574184845326,0.27042054008429023,0.25802204143117713,0.025404168758541346,0.5013192612137204,0.4986807387862796,0.5013923698131533,0.49860763018684684
D1,1718,2017-09-20,FC Koln,Ein Frankfurt,0,1,A,,,0.33573209774592083,0.3016259798796685,0.3626419223744106,0.3358238421717642,0.30039480683248526,0.3637813509957506,0.02625284530222416,0.41902313624678666,0.5809768637532133,0.4144904717974111,0.5855095282025888
D1,1718,2017-09-20,Freiburg,Hannover,1,1,D,,,0.34082647441430713,0.29623235626664074,0.36294116931905224,0.3411112402322753,0.2948156534633512,0.36407310630437356,0.025819959118962288,0.44791666666666663,0.5520833333333334,0.4451513821865228,0.5548486178134774
D1,1718,2017-09-20,Hamburg,Dortmund,0,3,A,,,0.13780905886200925,0.20089886007098814,0.6612920810670027,0.13058661326829932,0.19589113080600318,0.6735222559256975,0.02545992098748684,0.6165413533834586,0.38345864661654133,0.6235453531010199,0.37645464689898006
D1,1718,2017-09-20,Hertha,Leverkusen,2,1,H,,,0.2951395492352058,0.2786948236179949,0.42616562714679945,0.29365630329613274,0.2765797941785921,0.4297639025252752,0.02615061728283763,0.5157894736842105,0.4842105263157894,0.5166370896208807,0.4833629103791193
D1,1718,2017-09-20,Mainz,Hoffenheim,2,3,A,,,0.3557975856563822,0.27456056465391343,0.3696418496897044,0.3566698329197571,0.27227466453034727,0.37105550254989567,0.02634117566049099,0.5572916666666667,0.44270833333333337,0.5604727872513917,0.4395272127486084
D1,1718,2017-09-22,Bayern Munich,Wolfsburg,2,2,D,,,0.847301621343598,0.10475392036304876,0.047944458293353316,0.8643079778279735,0.09682967144535136,0.03886235072667517,0.02384183485992253,0.722457627118644,0.2775423728813559,0.7350518233522497,0.2649481766477502
D1,1718,2017-09-23,Dortmund,M'gladbach,6,1,H,,,0.6697985996721298,0.19175685716419846,0.13844454316367166,0.6826627551530949,0.1862789593364567,0.13105828551044835,0.02613028953783214,0.6797235023041476,0.32027649769585254,0.6902207047794692,0.3097792952205309
D1,1718,2017-09-23,Hoffenheim,Schalke 04,2,0,H,,,0.430040731231782,0.27388761268652395,0.2960716560816941,0.4337861611547099,0.27158927094419416,0.29462456790109587,0.026130788261070848,0.5404699738903395,0.4595300261096606,0.5425450153677878,0.4574549846322122
