league,season,date,home_team_raw,away_team_raw,home_goals,away_goals,result,home_team_id,away_team_id,prob_home_proportional,prob_draw_proportional,prob_away_proportional,prob_home_shin,prob_draw_shin,prob_away_shin,shin_z,prob_over25_proportional,prob_under25_proportional,prob_over25_shin,prob_under25_shin
E0,1718,2017-08-11,Arsenal,Leicester,4,3,H,fpl-team-1,hist-team-leicester,0.6347876972781018,0.2163723302234613,0.1488399724984369,0.6444982834569016,0.2125599380150546,0.1429417785280436,0.021871336735785,0.5903307888040712,0.4096692111959288,0.5950417648369755,0.4049582351630245
E0,1718,2017-08-12,Brighton,Man City,0,2,A,fpl-team-5,fpl-team-15,0.0945597445658848,0.181914937164845,0.72352531826927,0.0863496513492929,0.1764635581229725,0.7371867905277346,0.0241603089962154,0.5820512820512821,0.4179487179487179,0.5864841490747444,0.4135158509252556
E0,1718,2017-08-12,Chelsea,Burnley,2,3,A,fpl-team-6,hist-team-burnley,0.7720040184370964,0.1579678189541253,0.0700281626087783,0.786568692439246,0.1519182391328202,0.0615130684279338,0.0231928487773984,0.5732647814910026,0.4267352185089973,0.5769895726399324,0.4230104273600676
E0,1718,2017-08-12,Crystal Palace,Huddersfield,0,3,A,fpl-team-8,hist-team-huddersfield,0.5283564887313181,0.2732357841724816,0.1984077270962003,0.5349787765649062,0.2711701101262798,0.1938511133088139,0.0229417618829756,0.4490861618798955,0.5509138381201044,0.4462691502167826,0.5537308497832173
E0,1718,2017-08-12,Everton,Stoke,1,0,H,fpl-team-9,hist-team-stoke,0.5664864442403722,0.2594477210748588,0.1740658346847689,0.574210334714196,0.256963574097467,0.1688260911883367,0.0224201708333566,0.4583333333333333,0.5416666666666667,0.4562937062907753,0.5437062937092246
E0,1718,2017-08-12,Southampton,Swansea,0,0,D,hist-team-southampton,hist-team-swansea,0.5922410724878395,0.2483094079962036,0.1594495195159568,0.6016253650132697,0.245172128477483,0.1532025065092473,0.0246107636485248,0.4569190600522194,0.5430809399477807,0.4546703296758698,0.5453296703241303
E0,1718,2017-08-12,Watford,Liverpool,3,3,D,hist-team-watford,fpl-team-14,0.166389180605005,0.2356497015957583,0.5979611177992367,0.1608101587705322,0.2323247519100502,0.6068650893194175,0.0228035264881327,0.5223097112860893,0.4776902887139108,0.5234689933193785,0.4765310066806216
E0,1718,2017-08-12,West Brom,Bournemouth,1,0,H,hist-team-west-brom,fpl-team-3,0.3932199493458158,0.2995374535769067,0.3072425970772773,0.3952892785223917,0.2983703205474213,0.3063404009301868,0.023282280890271,0.4404145077720207,0.5595854922279793,0.4373638344171967,0.5626361655828032
E0,1718,2017-08-13,Man United,West Ham,4,0,H,fpl-team-16,hist-team-west-ham,0.7301343333260509,0.1808083131676988,0.0890573535062501,0.7435690049279721,0.1754855278057931,0.0809454672662348,0.0233885301277041,0.5595854922279793,0.4404145077720207,0.5626361655828032,0.4373638344171967
E0,1718,2017-08-13,Newcastle,Tottenham,0,2,A,fpl-team-17,fpl-team-19,0.1856462834126693,0.247528377883559,0.5668253387037715,0.1808456341172457,0.2446990458119727,0.5744553200707815,0.0220926669426262,0.5261780104712042,0.4738219895287958,0.5274868750139057,0.4725131249860944
