league,season,player_name,team,team_id,minutes,games,goals,xg,npg,npxg,assists,xa,xg_chain,xg_buildup
D1,2526,Harry Kane,Bayern Munich,,2385,31,36,29.57998568098992,26,21.244441921822727,5,7.403329385444522,34.28957922756672,10.577369537204504
D1,2526,Deniz Undav,VfB Stuttgart,,2261,29,19,19.05754723213613,19,18.299770614132285,6,5.584789767861366,30.379802346229553,9.692078652791679
D1,2526,Serhou Guirassy,Borussia Dortmund,,2366,33,17,19.91118175908923,16,17.63785172626376,1,1.9295950140804052,19.162629645317793,4.181204119697213
D1,2526,Patrik Schick,Bayer Leverkusen,,2005,28,16,19.421328123658895,12,15.632444690912962,3,3.1920390371233225,18.847500883042812,3.710258255712688
D1,2526,Michael Olise,Bayern Munich,,2308,32,15,11.545709690079093,15,11.545709690079093,19,17.044203309342265,39.00864061713219,16.973004333674908
D1,2526,Luis Díaz,Bayern Munich,,2464,32,15,14.85997650027275,15,14.85997650027275,14,10.122723823413253,36.54146680980921,15.259370246902108
D1,2526,Andrej Kramaric,Hoffenheim,,2256,34,14,13.078245226293802,9,9.289361868053675,6,4.530489624477923,18.172342345118523,7.810636706650257
D1,2526,Jonathan Burkardt,Eintracht Frankfurt,,1351,22,13,13.116983085870743,9,10.085876282304525,1,0.6681167893111706,12.243965607136488,3.2149797938764095
D1,2526,Christoph Baumgartner,RasenBallsport Leipzig,,2811,33,13,18.02284111827612,13,17.26506443321705,8,4.292830726131797,24.001264337450266,8.360922181978822
D1,2526,Haris Tabakovic,Borussia M.Gladbach,,2424,32,13,14.339333239942789,13,12.823779825121164,2,1.8832440096884966,12.752545801922679,2.8414238188415766
D1,2526,Said El Mala,FC Cologne,,1965,34,13,12.582745539024472,12,11.824968876317143,4,4.186228644102812,17.244747333228588,3.3356826342642307
D1,2526,Nadiem Amiri,Mainz 05,,2112,26,12,10.704714082181454,4,4.642500706017017,2,6.560079865157604,12.271673714742064,5.860426990315318
